# Y X drop drop_diff a0 a1
3.235294117647058876e+00 4.411764705882352811e-01 1.290525097852324166e-04 -4.410474180784500486e-01 5.072124988403853285e-01 4.298877828091020592e-01
3.382352941176470562e+00 4.411764705882352811e-01 1.019667905932664098e-05 -4.411662739091759544e-01 4.878881180560626918e-01 4.378631387934804331e-01
3.529411764705882248e+00 4.411764705882352811e-01 2.660724249332613311e-04 -4.409103981633020197e-01 4.636347665250329930e-01 4.487266536642396386e-01
3.676470588235294379e+00 4.411764705882352811e-01 -7.469075013408765784e-04 -4.419233780895761576e-01 4.335312523191405809e-01 4.636211302378576704e-01
3.823529411764706065e+00 4.411764705882352811e-01 -5.968143642931522663e-05 -4.412361520246645963e-01 3.994605864945440787e-01 4.806668209683233606e-01
3.970588235294117752e+00 4.411764705882352811e-01 2.553441568353687074e-04 -4.409211264313999123e-01 3.616232911277190709e-01 5.007280123118934556e-01
4.117647058823529882e+00 4.411764705882352811e-01 9.010951393282340405e-04 -4.402753754489070470e-01 3.217972410654857951e-01 5.223374233331090633e-01
4.264705882352941124e+00 4.411764705882352811e-01 -1.135303319513614184e-03 -4.423117739077488952e-01 2.815840346236213598e-01 5.450054324547289886e-01
4.411764705882353255e+00 4.411764705882352811e-01 1.249668878444465392e-03 -4.399268017097908157e-01 2.424495718137166245e-01 5.684575737975114951e-01
4.558823529411764497e+00 4.411764705882352811e-01 3.485532810143521232e-04 -4.408279173072209289e-01 2.059005700178184739e-01 5.918006489785332391e-01
4.705882352941176627e+00 4.411764705882352811e-01 -6.034563091841249616e-04 -4.417799268974194060e-01 1.725520358288859246e-01 6.153177213494834819e-01
4.852941176470588758e+00 4.411764705882352811e-01 -7.669058446773124871e-04 -4.419433764329125935e-01 1.433861572314563404e-01 6.383346406899366166e-01
5.000000000000000000e+00 4.411764705882352811e-01 5.003545772930273472e-05 -4.411264351305059783e-01 1.184048846093242041e-01 6.605276296303337347e-01
0.000000000000000000e+00 5.882352941176470784e-01 7.256164641549212035e-04 -5.875096776534921572e-01 2.155585790736453400e-01 4.022718068578730044e-01
1.470588235294117696e-01 5.882352941176470784e-01 -6.869204428980868471e-04 -5.889222145605451653e-01 2.434561631821319239e-01 4.551203949608537691e-01
2.941176470588235392e-01 5.882352941176470784e-01 -6.301879565855372789e-04 -5.888654820742326157e-01 2.689468070927709120e-01 4.988687418791546979e-01
4.411764705882352811e-01 5.882352941176470784e-01 -2.888323534202541509e-04 -5.885241264710673326e-01 2.918223139513759778e-01 5.318965118832508221e-01
5.882352941176470784e-01 5.882352941176470784e-01 7.177663849966542386e-05 -5.881635174791474130e-01 3.126749630109085798e-01 5.540984160776614154e-01
7.352941176470588758e-01 5.882352941176470784e-01 2.140271287167649916e-04 -5.880212669889303134e-01 3.321815896336784979e-01 5.668032365682693641e-01
8.823529411764705621e-01 5.882352941176470784e-01 -6.140394063103293831e-05 -5.882966980582781114e-01 3.508287231903958192e-01 5.716229312656522232e-01
1.029411764705882470e+00 5.882352941176470784e-01 -6.534178275166002692e-04 -5.888887119451636787e-01 3.691930840575828321e-01 5.701182245468771059e-01
1.176470588235294157e+00 5.882352941176470784e-01 5.189418918671862002e-05 -5.881833999284603598e-01 3.878233855184655687e-01 5.634467226586531430e-01
1.323529411764705843e+00 5.882352941176470784e-01 3.421349393046835274e-04 -5.878931591783423949e-01 4.063193871942962776e-01 5.533065341912145607e-01
1.470588235294117752e+00 5.882352941176470784e-01 1.075410375495078341e-03 -5.871598837421520001e-01 4.253130044215115979e-01 5.400667925305736583e-01
1.617647058823529438e+00 5.882352941176470784e-01 4.255417563729935182e-04 -5.878097523612740849e-01 4.438575505583568503e-01 5.253257089016382109e-01
1.764705882352941124e+00 5.882352941176470784e-01 -6.054974071292296145e-04 -5.888407915247763080e-01 4.619850494035762645e-01 5.095439313986573904e-01
1.911764705882353033e+00 5.882352941176470784e-01 -6.126419042922215397e-04 -5.888479360219393000e-01 4.790678663839028073e-01 4.935880552502118213e-01
2.058823529411764941e+00 5.882352941176470784e-01 1.013465238940636226e-03 -5.872218288787064422e-01 4.944988810976017612e-01 4.783224523335915523e-01
2.205882352941176627e+00 5.882352941176470784e-01 1.352117840369704282e-04 -5.881000823336101080e-01 5.076940984624169761e-01 4.643565599736086402e-01
2.352941176470588314e+00 5.882352941176470784e-01 -1.019508059241447384e-03 -5.892548021768885258e-01 5.179714592056167133e-01 4.524009920008565944e-01
2.500000000000000000e+00 5.882352941176470784e-01 4.560540149305403190e-04 -5.877792401027165381e-01 5.251039193164493968e-01 4.426482867395258869e-01
2.647058823529411686e+00 5.882352941176470784e-01 -2.640225789432015802e-04 -5.884993166965902800e-01 5.284693535025131172e-01 4.356430732371213699e-01
2.794117647058823817e+00 5.882352941176470784e-01 -2.463405814316921294e-04 -5.884816346990787705e-01 5.272535492395156176e-01 4.319629101122657300e-01
2.941176470588235503e+00 5.882352941176470784e-01 4.057496495859513885e-04 -5.878295444680611270e-01 5.210512886288831691e-01 4.319880927023007633e-01
3.088235294117647189e+00 5.882352941176470784e-01 -5.971327090275035943e-04 -5.888324268266745820e-01 5.097987743445814290e-01 4.354655917504496321e-01
