# X align relalign posterior
-6.486840482720367396e-01 -6.287690401111322158e-01 1.991500816090452375e-02 1.404318798854560679e+00
-6.439125583987596046e-01 -6.259892920953135098e-01 1.792326630344609484e-02 1.363269352671294232e+00
-6.391410685254823587e-01 -6.231512798575936651e-01 1.598978866788869357e-02 1.309507764437666033e+00
-6.343695786522051128e-01 -6.202492915858094369e-01 1.412028706639567588e-02 1.247980378803312362e+00
-6.295980887789279778e-01 -6.172775452358938431e-01 1.232054354303413479e-02 1.184470664431915399e+00
-6.248265989056507319e-01 -6.142306389658028776e-01 1.059595993984785434e-02 1.124982258100447829e+00
-6.200551090323734860e-01 -6.111033414892883542e-01 8.951767543085131784e-03 1.074968561137174206e+00
-6.152836191590963510e-01 -6.078906164813548951e-01 7.393002677741455919e-03 1.038498165548421781e+00
-6.105121292858191051e-01 -6.045876647164839524e-01 5.924464569335152753e-03 1.017465037255605775e+00
-6.057406394125418592e-01 -6.011900704882789936e-01 4.550568924262865522e-03 1.010960383468396451e+00
-6.009691495392647242e-01 -5.976934439591566894e-01 3.275705580108034809e-03 1.014932287795001997e+00
-5.961976596659874783e-01 -5.940939095022415017e-01 2.103750163745976565e-03 1.022233126192913399e+00
-5.914261697927102324e-01 -5.903877052134617331e-01 1.038464579248499220e-03 1.023119186704495753e+00
-5.866546799194330974e-01 -5.865714815543094929e-01 8.319836512360456737e-05 1.006227692140598595e+00
-5.818831900461558515e-01 -5.826421221949941165e-01 -7.589321488382649861e-04 9.600134792115250226e-01
-5.771117001728786056e-01 -5.785968038850102246e-01 -1.485103712131619069e-03 8.745641912260962991e-01
-5.723402102996014706e-01 -5.744330188598871789e-01 -2.092808560285708275e-03 7.436062644421786993e-01
-5.675687204263242247e-01 -5.701486528239737561e-01 -2.579932397649531417e-03 5.663754580241510128e-01
-5.627972305530469788e-01 -5.657418377124165954e-01 -2.944607159369616589e-03 3.488388764386014529e-01
-5.580257406797697328e-01 -5.612110332674326019e-01 -3.185292587662869046e-03 1.037612299747625588e-01
-5.532542508064925979e-01 -5.565550067970419512e-01 -3.300755990549353314e-03 -1.506828403874198030e-01
-5.484827609332153520e-01 -5.517729019927669620e-01 -3.290141059551610070e-03 -3.934794557172105467e-01
-5.437112710599381060e-01 -5.468641519199145540e-01 -3.152880859976447958e-03 -6.036322194928123164e-01
-5.389397811866609711e-01 -5.418285142122084563e-01 -2.888733025547485234e-03 -7.621816128087365305e-01
-5.341682913133837252e-01 -5.366660084252964369e-01 -2.497717111912711729e-03 -8.529663286476378836e-01
-5.293968014401064792e-01 -5.313770367126630090e-01 -1.980235272556529758e-03 -8.631213521699689917e-01
-5.246253115668293443e-01 -5.259623094412904099e-01 -1.336997874461065550e-03 -7.853325803188466736e-01
-5.198538216935520984e-01 -5.204227768065073922e-01 -5.689551129552938846e-04 -6.228324242998592997e-01
-5.150823318202748524e-01 -5.147598266621425944e-01 3.225051581322579963e-04 -3.947822993125337243e-01
-5.103108419469977175e-01 -5.089748725532085016e-01 1.335969393789215864e-03 -1.362557923964549111e-01
-5.055393520737204716e-01 -5.030697927550564774e-01 2.469559318663994141e-03 1.119733985843271995e-01
-5.007678622004432256e-01 -4.970468461763484780e-01 3.721016024094747632e-03 3.214047159434045842e-01
-4.959963723271660352e-01 -4.909082621294920123e-01 5.088110197674022839e-03 4.896072790469186975e-01
-4.912248824538888448e-01 -4.846567620912339835e-01 6.568120362654861211e-03 6.361633497600899245e-01
-4.864533925806116543e-01 -4.782951496996212248e-01 8.158242880990429491e-03 7.794539315822665015e-01
-4.816819027073344084e-01 -4.718265700429058462e-01 9.855332664428562151e-03 9.115623205677395591e-01
-4.769104128340572180e-01 -4.652542724802219420e-01 1.165614035383527591e-02 9.950826127408937127e-01
-4.721389229607799720e-01 -4.585817831552490564e-01 1.355713980553091558e-02 9.883068005760328179e-01
-4.673674330875027816e-01 -4.518128545087646275e-01 1.555457857873815408e-02 8.776317835799075651e-01
-4.625959432142255912e-01 -4.449513277932382049e-01 1.764461542098738622e-02 6.874049820738460381e-01
-4.578244533409483452e-01 -4.380011536998768551e-01 1.982329964107149012e-02 4.606772605647754260e-01
-4.530529634676711548e-01 -4.309666555722135306e-01 2.208630789545762418e-02 2.351349885549371965e-01
-4.482814735943939644e-01 -4.238520504088576502e-01 2.442942318553631420e-02 3.979219305070846868e-02
-4.435099837211167184e-01 -4.166617826770792621e-01 2.684820104403745633e-02 -9.315108667020521871e-02
-4.387384938478395280e-01 -4.094003604688532527e-01 2.933813337898627527e-02 -1.310830187565079630e-01
-4.339670039745623376e-01 -4.020724152126857187e-01 3.189458876187661884e-02 -7.037948211695271850e-02
-4.291955141012850916e-01 -3.946826530862236893e-01 3.451286101506140236e-02 3.661664134605313592e-02
-4.244240242280079012e-01 -3.872358182253219927e-01 3.718820600268590848e-02 9.742243598459343623e-02
