# Z qmu qsqrt 2qsqrt
7.407994590163475834e-01 -9.841542338549751356e-01 1.566141295063379390e-03 3.132282590126758779e-03
5.682250960320821553e-01 -1.554146443853181639e-02 1.195431676194078432e-03 2.390863352388156865e-03
9.891208675801003158e-01 -4.379608551025700180e-02 1.276304247055982466e-03 2.552608494111964933e-03
9.888293043141518357e-01 -4.622339839166840492e-02 1.176972499020492117e-03 2.353944998040984234e-03
6.772676970101092486e-01 -7.631929156725401064e-01 1.324095123247637533e-03 2.648190246495275065e-03
1.214424099380298494e-02 8.487771117671375487e-01 1.260762493718812702e-03 2.521524987437625404e-03
1.078505386728762991e-02 8.376738685362542514e-01 1.120961180450301365e-03 2.241922360900602731e-03
9.334336201349491269e-01 -4.052856907729817104e-01 1.100159952817702201e-03 2.200319905635404402e-03
9.450145822744567825e-01 -3.366869827924275915e-01 1.096151330928695974e-03 2.192302661857391949e-03
7.465227115990071827e-01 -1.001348176539157420e+00 1.242788587735477786e-03 2.485577175470955573e-03
5.397042999120713613e-01 2.091365201847004973e-01 1.327078621501706201e-03 2.654157243003412402e-03
2.895161887977128479e-01 4.494098322130821721e-01 1.050225004771972647e-03 2.100450009543945295e-03
2.844942570336179699e-01 3.981693736413224327e-01 1.064171769203424954e-03 2.128343538406849908e-03
9.676394705020455733e-01 -2.021796679218446635e-01 1.281945615501662271e-03 2.563891231003324542e-03
6.304740021050512233e-01 -5.447365380844365612e-01 1.083939548833158517e-03 2.167879097666317034e-03
6.259744068065359324e-01 -5.091904060571844637e-01 1.138221890272503312e-03 2.276443780545006623e-03
9.885480701643557522e-01 -4.846772910138164719e-02 1.149541351919386011e-03 2.299082703838772022e-03
6.468040451166784388e-01 -6.523478961130358966e-01 1.158862299216058701e-03 2.317724598432117401e-03
2.844271173646043538e-01 3.976057051933536979e-01 1.039004961150993703e-03 2.078009922301987406e-03
2.876679664084554333e-01 4.307166507287288892e-01 9.647650259530422562e-04 1.929530051906084512e-03
1.014880081479673929e-01 -8.051115387722642680e-01 1.052617661710187344e-03 2.105235323420374689e-03
6.419936110165387344e-01 -6.244949587248105338e-01 1.085410209025452957e-03 2.170820418050905913e-03
2.857139663281261788e-01 4.109485763744286091e-01 1.034083369887217737e-03 2.068166739774435475e-03
9.848680671357264160e-02 -7.683243546454027184e-01 1.025601440950755627e-03 2.051202881901511253e-03
9.169143206353004283e-01 -5.116983619579595910e-01 1.038537536388410435e-03 2.077075072776820869e-03
8.613078660357740279e-01 -8.070547297262119502e-01 1.013612377057034140e-03 2.027224754114068279e-03
3.253283284308223361e-02 7.394212314434123190e-01 1.088054923458921935e-03 2.176109846917843871e-03
5.173237125385475865e-01 3.887704818386420458e-01 1.416213313275792611e-03 2.832426626551585221e-03
5.172475292244086420e-01 3.892990161831907381e-01 1.188767660446863076e-03 2.377535320893726153e-03
2.921912785367348220e-01 4.758180367216683360e-01 1.047682675807537619e-03 2.095365351615075238e-03
8.687451979259152024e-01 -7.834096227620738206e-01 1.045331049426194078e-03 2.090662098852388157e-03
3.110455524100816382e-01 6.432766089643464635e-01 1.049977980973601944e-03 2.099955961947203888e-03
5.308587693095351279e-01 2.803864508641475406e-01 1.212856355961179156e-03 2.425712711922358312e-03
8.658033288402621208e-01 -7.933447378844774578e-01 1.037965535954639244e-03 2.075931071909278489e-03
6.498931887785744932e-01 -6.683731387013077674e-01 1.158887815457288221e-03 2.317775630914576442e-03
6.197629875487746798e-01 -4.570438086205599881e-01 1.113541962887119874e-03 2.227083925774239748e-03
8.883044899073542222e-01 -6.949079765354490013e-01 1.064286460790108118e-03 2.128572921580216236e-03
2.127794438136628719e-01 -4.482006305620912512e-01 1.084517721426718614e-03 2.169035442853437228e-03
5.255060434819515125e-01 3.235453982452864419e-01 1.138548085736212478e-03 2.277096171472424956e-03
8.642115941594920026e-01 -7.983916149237757498e-01 1.103255980154505987e-03 2.206511960309011974e-03
5.549627124744338502e-02 1.833648173230967293e-01 1.112842287761035224e-03 2.225684575522070448e-03
9.844378838879221938e-01 -8.163554565028888210e-02 1.185674617211923123e-03 2.371349234423846247e-03
9.219873648473240202e-01 -4.779580399696792825e-01 1.014732236697698294e-03 2.029464473395396588e-03
8.905928619337764029e-01 -6.819585211088375898e-01 1.044699565453564459e-03 2.089399130907128917e-03
9.838522450684959730e-02 -7.670104690011850801e-01 1.037916212771449386e-03 2.075832425542898773e-03
6.316242355582305512e-01 -5.533950784501245890e-01 1.060593577998488564e-03 2.121187155996977127e-03
9.810140779728169225e-01 -1.082872930092061980e-01 1.132744293774720461e-03 2.265488587549440921e-03
1.045317544615172595e-01 -8.387424915419131599e-01 1.058590504602868049e-03 2.117181009205736097e-03
2.640383955089998236e-01 1.716748969748705111e-01 1.178434979030778661e-03 2.356869958061557323e-03
2.202623189818290750e-01 -3.554913483810083763e-01 1.047421200235137701e-03 2.094842400470275402e-03
9.826463608717242448e-02 -7.654476113836740092e-01 1.038012056654568889e-03 2.076024113309137779e-03
9.680035537450778493e-01 -1.998640187950730673e-01 1.090235900316419452e-03 2.180471800632838904e-03
6.179423163898152271e-01 -4.414306670724348902e-01 1.090286583409324312e-03 2.180573166818648625e-03
7.526155458814289823e-01 -1.015316213563146608e+00 1.157234042478490817e-03 2.314468084956981635e-03
7.466635539291320844e-01 -1.001688606349707911e+00 1.124654205805550875e-03 2.249308411611101750e-03
1.790285866593304027e-03 7.054590182788667008e-01 2.136895061608335387e-03 4.273790123216670775e-03
7.514594269779624192e-01 -1.013032361648377178e+00 1.082933134381102716e-03 2.165866268762205431e-03
2.849263350899164382e-01 4.025908882235065267e-01 1.013691572412370049e-03 2.027383144824740097e-03
3.496195509434710941e-02 6.959661497942097874e-01 1.085315414038836527e-03 2.170630828077673054e-03
7.627023791637801975e-02 -3.680782299502491361e-01 1.080840442486224974e-03 2.161680884972449947e-03
